CMTE_ID,CMTE_NM,CMTE_TP,CMTE_CITY,CMTE_ST,CMTE_ZIP,CMTE_DSGN,CMTE_PTY_AFFILIATION,ORG_TP,CONNECTED_ORG_NM,CAND_ID
C00723197,KARL GENTLES FOR CONGRESS,H,PHOENIX,AZ,85080,P,DEM,,,H0AZ06084
C00723288,TUTORA FOR CONGRESS,H,PHOENIX,AZ,85020,P,REP,,NONE,H0AZ09021
C00723726,COMMITTEE TO ELECT JOHANNON BEN ZION,P,PHOENIX,AZ,85034,P,IND,,NONE,P00013987
C00725333,RONNEBECK FOR CONGRESS,H,MESA,AZ,85208,P,REP,,NONE,H0AZ03453
C00725614,TOM LEWELLEN FOR CONGRESS,H,SCOTTSDALE,AZ,85255,P,W,,NONE,H0AZ06092
C00725689,ANNE MARIE WARD FOR CONGRESS,H,PRESCOTT,AZ,86304,P,REP,,NONE,H0AZ04535
C00725697,DANIEL WOOD FOR US CONGRESS,H,MARICOPA,AZ,85138,P,REP,,NONE,H0AZ03461
C00727362,THE JON IRELAND CAMPAIGN,H,CHANDLER,AZ,85225,P,DEM,,NONE,H0AZ05169
C00727503,COMMITTEE TO ELECT HARRIS DEITCH,H,CHANDLER,AZ,85224,P,REP,,NONE,
C00731778,MAUL FOR US SENATE AZ 2020,S,PAGE,AZ,86040,P,IND,,NONE,S6AZ00282
C00732875,JIMMY RODRIGUEZ FOR CONGRESS,H,PEORIA,AZ,85385,P,REP,,NONE,H0VT01062
C00733675,SAM HUANG FOR CONGRESS,H,CHANDLER,AZ,85226,P,REP,,NONE,H0AZ09047
C00734087,RUDEN FOR CONGRESS,H,TUCSON,AZ,85742,P,REP,,NONE,H0AZ02265
C00734673,TALIA FUENTES WOLFE FOR CONGRESS,H,TEMPE,AZ,85282,P,DEM,,NONE,H0AZ09062
C00734715,JASON BACON FOR CONGRESS,H,TUCSON,AZ,85716,P,REP,,NONE,H0AZ02273
C00735068,CIVIL GOVERNANCE,N,SCOTTSDALE,AZ,85255,U,UKN,,,
C00735175,GENNARO NAPOLITANO FOR HOUSE,H,FLAGSTAFF,AZ,86001,P,NNE,,NONE,H0AZ06100
C00736181,SAWDY FOR ARIZONA 2020,H,GLENDALE,AZ,85308,P,DEM,,NONE,H8AZ08208
C00736918,QUILTERFORCONGRESS- PETER QUILTER,H,TUCSON,AZ,85718,P,DEM,,NONE,H0AZ02281
C00737429,NICK FOR CONGRESS 2020,H,GILBERT,AZ,85296,P,DEM,,NONE,H0AZ05177
C00737973,ARIF FOR ARIZONA,S,CASA GRANDE,AZ,85193,P,DEM,,,S0AZ00384
C00738328,MIKE BOYD FOR CONGRESS,H,TUCSON,AZ,85711,P,REP,,NONE,H0AZ02299
C00738617,DANE AMLING EXPLORATORY COMMITTEE,H,PHOENIX,AZ,85041,P,DEM,,NONE,H0AZ07108
C00738625,COMMITTEE TO ELECT FLOYD GETCHELL,S,CASA GRANDE,AZ,85122,P,REP,,,S0AZ00392
C00739383,BURTON FOR CONGRESS,S,TEMPE,AZ,852811009,P,REP,,,S0AZ00400
C00741660,MARK CAVENER FOR SENATE,S,TUSCON,AZ,85719,P,REP,,NONE,S0AZ00418
C00741942,BARRY HESS FOR SENATE,S,GLENDALE,AZ,85312,P,LIB,,NONE,S0AZ00145
C00748384,PAID FOR BY JAVIER RAMOS,H,QUEEN CREEK,AZ,85142,P,DEM,,NONE,H0AZ05185
C00749275,USMC NORTHEY,X,PHOENIX,AZ,85024,U,REP,,NONE,
